invoice_id,vendor_id,vendor_name,gst_number,invoice_date,quantity,unit_price,gst_percent,total_amount
INV-101,1,ABC Traders,27ABCDE1234F1Z5,2026-01-05,5,200,18,1180
INV-102,2,XYZ Supplies,29XYZAB5678G1Z2,2026-01-06,10,150,18,1200
INV-101,1,ABC Traders,27ABCDE1234F1Z5,2026-01-05,5,200,18,1180
INV-104,3,Metro Electronics,07METRO9988H1Z3,2026-01-07,3,4500,18,15930
INV-105,2,XYZ Supplies,29XYZAB5678G1Z2,2026-01-08,7,300,18,2478
INV-106,4,Global Hardware,36GLOB1122K1Z7,2026-01-09,20,50,18,1180
INV-107,3,Metro Electronics,07METRO9988H1Z3,2026-01-10,,5000,18,5900
INV-108,5,Prime Stationery,19PRIME3344L1Z1,2026-01-11,15,80,18,1416
INV-109,4,Global Hardware,36GLOB1122K1Z7,2026-01-12,50,1000,18,59000
INV-110,5,Prime Stationery,19PRIME3344L1Z1,2027-03-01,10,80,18,944
